,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
27,吗,"<span class=""tone5"">吗</span>","<span class=""tone5"">ma</span><!--ma-->",yes/no question word,"<span class=""tone3"">好</span><span class=""tone5"">吗</span>{{c1:: － <span class=""tone3"">hǎo</span><span class=""tone5"">ma</span> － good?}}","<span class=""tone2"">忙</span><span class=""tone5"">吗</span>{{c1:: － <span class=""tone2"">máng</span><span class=""tone5"">ma</span> － busy?}}<br />","<span class=""tone4"">干</span><span class=""tone2"">吗</span>{{c1:: － <span class=""tone4"">gàn</span><span class=""tone2"">má</span> － what are you doing?}}",,,"你找我<span class=""highlight"">吗</span>？",Are you looking for me?,nǐ zhǎo wǒ ma ？<!--ni zhao wo ma ？-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21527.gif"" alt=""吗""style=""width:75px;height:75px;""/>",4 CharSet,data/sounds/oddcast-b4b8ca1b-02785391-29d15c1e-33640bee-dae96f60.wav,ma,ma,Tone 5 (neutral)
28,妈,"<span class=""tone1"">妈</span>","<span class=""tone1"">mā</span><!--ma-->",mother,"<span class=""tone1"">妈</span><span class=""tone5"">妈</span>{{c1:: － <span class=""tone1"">mā</span><span class=""tone5"">ma</span> － mother}}",,,,,"<span class=""highlight"">妈</span><span class=""highlight"">妈</span>最疼我。",Mom loves me the most.,mā ma zuì téng wǒ 。<!--ma ma zui teng wo 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22920.gif"" alt=""妈""style=""width:75px;height:75px;""/>",4 CharSet,data/sounds/oddcast-dea8ed62-40b14e1b-d00bb7c2-55c8cce9-a73e1ed2.wav,mā,mā,Tone 1 ( ̄)
29,月,"<span class=""tone4"">月</span>","<span class=""tone4"">yuè</span><!--yue-->",month; moon,"<span class=""tone4"">这</span><span class=""tone5"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone5"">ge</span><span class=""tone4"">yuè</span> － this month}}","<span class=""tone4"">上</span><span class=""tone5"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone5"">ge</span><span class=""tone4"">yuè</span> － last month}}","<span class=""tone4"">下</span><span class=""tone4"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone4"">gè</span><span class=""tone4"">yuè</span> － next month}}","<span class=""tone4"">月</span><span class=""tone5"">亮</span>{{c1:: － <span class=""tone4"">yuè</span><span class=""tone5"">liang</span> － the moon}}",,"我的<span class=""highlight"">月</span>收入是五千元。",My monthly income is 5000 yuan.,wǒ de yuè shōu rù shì wǔ qiān yuán 。<!--wo de yue shou ru shi wu qian yuan 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26376.gif"" alt=""月""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-edf5ec62-1324e1d1-605ba38a-6cc6e932-522d6da5.wav,yuè,yuè,Tone 4 ( ̀)
30,朋,"<span class=""tone2"">朋</span>","<span class=""tone2"">péng</span><!--peng-->",friend; companion,"<span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone2"">péng</span><span class=""tone5"">you</span> － friend}}","<span class=""tone2"">男</span><span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone2"">nán</span><span class=""tone2"">péng</span><span class=""tone5"">you</span> － boy friend}}","<span class=""tone3"">女</span><span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone3"">nǚ</span><span class=""tone2"">péng</span><span class=""tone5"">you</span> － girl friend}}","<span class=""tone3"">老</span><span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone2"">péng</span><span class=""tone5"">you</span> － old friend}}",,"昨晚亲<span class=""highlight"">朋</span>好友聚在一起真高兴。",It was very happy to have relative and friends gathered together last night.,zuó wǎn qīn péng hǎo yǒu jù zài yī qǐ zhēn gāo xìng 。<!--zuo wan qin peng hao you ju zai yi qi zhen gao xing 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26379.gif"" alt=""朋""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-d86b6615-6e8348a9-671d2e74-b03f782e-aa8d40f1.wav,péng,péng,Tone 2 ( ́)
31,有,"<span class=""tone3"">有</span>","<span class=""tone3"">yǒu</span><!--you-->",to have,"<span class=""tone3"">有</span><span class=""tone2"">名</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone2"">míng</span> － famous}}","<span class=""tone3"">有</span><span class=""tone2"">钱</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone2"">qián</span> － rich}}","<span class=""tone3"">有</span><span class=""tone4"">意</span><span class=""tone5"">思</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone4"">yì</span><span class=""tone5"">si</span> － interesting; meaningful}}","<span class=""tone3"">有</span><span class=""tone4"">害</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone4"">hài</span> － harmful}}",,"我<span class=""highlight"">有</span>一个哥哥。",I have an older brother.,wǒ yǒu yī gè gē ge 。<!--wo you yi ge ge ge 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26377.gif"" alt=""有""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-ea116131-3d1b290c-8326c5f3-973d808b-12b95f10.wav,yǒu,yǒu,Tone 3 ( ̌)
32,妹,"<span class=""tone4"">妹</span>","<span class=""tone4"">mèi</span><!--mei-->",younger sister,"<span class=""tone4"">妹</span><span class=""tone5"">妹</span>{{c1:: － <span class=""tone4"">mèi</span><span class=""tone5"">mei</span> － younger sister}}","<span class=""tone3"">姐</span><span class=""tone4"">妹</span>{{c1:: － <span class=""tone3"">jiě</span><span class=""tone4"">mèi</span> － sisters}}",,,,"我<span class=""highlight"">妹</span>还很小。",My younger sister is still young.,wǒ mèi hái hěn xiǎo 。<!--wo mei hai hen xiao 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22969.gif"" alt=""妹""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-5f4d35cc-0f8ffc90-1a95b8df-e5d05b48-6a32c5d1.wav,mèi,mèi,Tone 4 ( ̀)
33,来,"<span class=""tone2"">来</span>","<span class=""tone2"">lái</span><!--lai-->",come,"<span class=""tone4"">上</span><span class=""tone2"">来</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone2"">lái</span> － come up}}","<span class=""tone4"">下</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone5"">lai</span> － come down}}","<span class=""tone5"">起</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone5"">qi</span><span class=""tone5"">lai</span> － stand up}}","<span class=""tone2"">来</span><span class=""tone4"">自</span>{{c1:: － <span class=""tone2"">lái</span><span class=""tone4"">zì</span> － come from}}",,"我<span class=""highlight"">来</span>自英国。",I'm from the U.K.,Wǒ lái zì Yīngguó.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26469.gif"" alt=""来""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-32c818b8-266a4398-3933774a-2b8c26dc-c18216a8.wav,lái,lái,Tone 2 ( ́)
34,了,"<span class=""tone5"">了</span> / <span class=""tone3"">了</span>","<span class=""tone5"">le</span> / <span class=""tone3"">liǎo</span><!--le / liao-->",transition word / to complete,"<span class=""tone4"">为</span><span class=""tone5"">了</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone5"">le</span> － in order to}}","<span class=""tone4"">不</span><span class=""tone3"">了</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone3"">liǎo</span> － can not}}",,,,"她们迷路<span class=""highlight"">了</span>。",They're lost.,Tāmen mílù le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20102.gif"" alt=""了"" style=""width:75px;height:75px;"">",6 CharSet,data/sounds/oddcast-8d72198f-55363d1d-1b9986c7-9ffe3126-8f211032.wav,le,le,Tone 5 (neutral)
35,说,"<span class=""tone1"">说</span>","<span class=""tone1"">shuō</span><!--shuo-->",to say; to speak,"<span class=""tone1"">说</span><span class=""tone4"">话</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone4"">huà</span> － to speak}}","<span class=""tone1"">说</span><span class=""tone3"">谎</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone3"">huǎng</span> － tell a lie}}","<span class=""tone1"">说</span><span class=""tone5"">不</span><span class=""tone4"">定</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone5"">bu</span><span class=""tone4"">dìng</span> － maybe}}","<span class=""tone1"">说</span><span class=""tone2"">服</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone2"">fú</span> － convince}}",,"请听我<span class=""highlight"">说</span>。",Please listen to what I say.,qǐng tīng wǒ shuō 。<!--qing ting wo shuo 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35828.gif"" alt=""说""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-0c6df2e7-4900a2bc-5fce427f-5a41a5cf-0ff66d14.wav,shuō,shuō,Tone 1 ( ̄)
36,语,"<span class=""tone3"">语</span>","<span class=""tone3"">yǔ</span><!--yu-->",language,"<span class=""tone3"">口</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone3"">kǒu</span><span class=""tone3"">yǔ</span> － spoken language}}","<span class=""tone4"">日</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone4"">rì</span><span class=""tone3"">yǔ</span> － japanese}}","<span class=""tone2"">成</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone2"">chéng</span><span class=""tone3"">yǔ</span> － idiom}}",,,"她是外<span class=""highlight"">语</span>系的学生。",She is a student in the foreign languages department.,Tā shì wàiyǔxì de xuésheng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35821.gif"" alt=""语""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-c24605b3-27dcac0b-c469c97a-a6d3f7e2-f64faca2.wav,yǔ,yǔ,Tone 3 ( ̌)
37,多,"<span class=""tone1"">多</span>","<span class=""tone1"">duō</span><!--duo-->",how many/much; to what extent; many,"<span class=""tone3"">许</span><span class=""tone1"">多</span>{{c1:: － <span class=""tone3"">xǔ</span><span class=""tone1"">duō</span> － a lot of}}","<span class=""tone1"">多</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">duō</span><span class=""tone4"">cì</span> － repeatedly}}",,,,"这个小镇的人口不<span class=""highlight"">多</span>。",This town has a small population.,Zhège xiǎozhèn de rénkǒu bù duō.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22810.gif"" alt=""多""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-cc0b4511-b3933d28-1447e4ba-63c3d43a-691480c8.wav,duō,duō,Tone 1 ( ̄)
38,名,"<span class=""tone2"">名</span>","<span class=""tone2"">míng</span><!--ming-->",name,"<span class=""tone2"">名</span><span class=""tone5"">字</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone5"">zi</span> － name}}","<span class=""tone2"">名</span><span class=""tone2"">牌</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone2"">pái</span> － brand name}}","<span class=""tone2"">名</span><span class=""tone4"">片</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone4"">piàn</span> － buisiness card}}",,,"他<span class=""highlight"">名</span>叫王刚。",His name is Wang Gang.,tā míng jiào wáng gāng 。<!--ta ming jiao wang gang 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21517.gif"" alt=""名""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-441f0a1c-d617dc5c-d2239dc0-d86739a6-9238741b.wav,míng,míng,Tone 2 ( ́)
39,外,"<span class=""tone4"">外</span>","<span class=""tone4"">wài</span><!--wai-->",outside; out; foreign,"<span class=""tone4"">外</span><span class=""tone5"">边</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone5"">bian</span> － outside}}","<span class=""tone4"">外</span><span class=""tone2"">国</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone2"">guó</span> － foreign country}}","<span class=""tone4"">外</span><span class=""tone1"">交</span><span class=""tone1"">官</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone1"">jiāo</span><span class=""tone1"">guān</span> － diplomat}}","<span class=""tone4"">在</span><span class=""tone4"">外</span>{{c1:: － <span class=""tone4"">zài</span><span class=""tone4"">wài</span> － excluded}}","<span class=""tone4"">外</span><span class=""tone2"">国</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone2"">guó</span><span class=""tone2"">rén</span> － foreigner}}","他们去野<span class=""highlight"">外</span>露营。",They went camping in the open country.,Tāmen qù yěwài lùyíng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22806.gif"" alt=""外""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-a6a0256a-387ed6fc-b94ddda6-9b9fbd7f-9e460c3b.wav,wài,wài,Tone 4 ( ̀)
40,刀,"<span class=""tone1"">刀</span>","<span class=""tone1"">dāo</span><!--dao-->",knife,"<span class=""tone1"">刀</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone1"">dāo</span><span class=""tone5"">zi</span> － knife}}","<span class=""tone1"">刀</span><span class=""tone4"">片</span>{{c1:: － <span class=""tone1"">dāo</span><span class=""tone4"">piàn</span> － blade}}",,,,"这把菜<span class=""highlight"">刀</span>很锋利。",The kitchen knife is very sharp.,Zhè bǎ càidāo hěn fēnglì.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20992.gif"" alt=""刀""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-7aa6e74b-7799f9d2-e036505b-1367a591-8a083b25.wav,dāo,dāo,Tone 1 ( ̄)
41,分,"<span class=""tone1"">分</span>","<span class=""tone1"">fēn</span><!--fen-->",to divide; division; minute; {MW} 1/100 of a 块 (cent),"<span class=""tone1"">分</span><span class=""tone1"">钟</span>{{c1:: － <span class=""tone1"">fēn</span><span class=""tone1"">zhōng</span> － minute}}","<span class=""tone1"">分</span><span class=""tone2"">别</span>{{c1:: － <span class=""tone1"">fēn</span><span class=""tone2"">bié</span> － respectively}}","<span class=""tone1"">分</span><span class=""tone4"">辨</span>{{c1:: － <span class=""tone1"">fēn</span><span class=""tone4"">biàn</span> － distinguish}}","<span class=""tone3"">百</span><span class=""tone1"">分</span><span class=""tone1"">之</span><span class=""tone1"">三</span><span class=""tone2"">十</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone1"">fēn</span><span class=""tone1"">zhī</span><span class=""tone1"">sān</span><span class=""tone2"">shí</span> － 30%}}",,"这药<span class=""highlight"">分</span>三次是。",This medicine is to be take in three separate doses.,zhè yào fēn sān cì shì 。<!--zhe yao fen san ci shi 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20998.gif"" alt=""分""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-d153a01e-7063b72c-ef4f690f-97195bcb-1c7ed664.wav,fēn,fēn,Tone 1 ( ̄)
42,到,"<span class=""tone4"">到</span>","<span class=""tone4"">dào</span><!--dao-->",to arrive; to go to,"<span class=""tone2"">得</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone2"">dé</span><span class=""tone4"">dào</span> － get}}","<span class=""tone3"">找</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone3"">zhǎo</span><span class=""tone4"">dào</span> － turn up}}","<span class=""tone2"">达</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone2"">dá</span><span class=""tone4"">dào</span> － achieve}}",,,"她遭<span class=""highlight"">到</span>了殴打。",She's been beaten up.,Tā zāodàole ōudǎ.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21040.gif"" alt=""到""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-54bcc2de-7f67e74a-310f787c-a8d167d3-58355166.wav,dào,dào,Tone 4 ( ̀)
43,倒,"<span class=""tone3"">倒</span> / <span class=""tone4"">倒</span>","<span class=""tone3"">dǎo</span> / <span class=""tone4"">dào</span><!--dao / dao-->",topple / invert,"<span class=""tone3"">打</span><span class=""tone3"">倒</span>{{c1:: － <span class=""tone3"">dǎ</span><span class=""tone3"">dǎo</span> － down with...}}","<span class=""tone3"">倒</span><span class=""tone4"">下</span>{{c1:: － <span class=""tone3"">dǎo</span><span class=""tone4"">xià</span> － to topple}}","<span class=""tone1"">摔</span><span class=""tone3"">倒</span>{{c1:: － <span class=""tone1"">shuāi</span><span class=""tone3"">dǎo</span> － to fall down}}",,,"她正在<span class=""highlight"">倒</span>车。",She's backing the car up.,Tā zhèng zài dǎochē.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20498.gif"" alt=""倒""style=""width:75px;height:75px;""/>",6 CharSet,data/sounds/oddcast-5177b91c-d6d518de-ae403e83-2fde7b2c-4f10db0b.wav,dǎo,dǎo,Tone 3 ( ̌)
