一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
马	"<span class=""tone3"">马</span>"	"<span class=""tone3"">mǎ</span><!--ma-->"	horse	"<span class=""tone3"">马</span><span class=""tone4"">路</span>{{c1:: － <span class=""tone3"">mǎ</span><span class=""tone4"">lù</span> － street; avenue}}"	"<span class=""tone3"">马</span><span class=""tone4"">上</span>{{c1:: － <span class=""tone3"">mǎ</span><span class=""tone4"">shàng</span> － immediatley}}"				"<span class=""highlight"">马</span>跑得真快。"	The horse runs really fast.	mǎ pǎo dé zhēn kuài 。<!--ma pao de zhen kuai 。-->	[sound:oddcast-4f77eeb3-5b04936f-2fc1a5aa-902bd6d6-d046296d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39532.gif"" alt=""马""style=""width:75px;height:75px;""/>"	4 CharSet
吗	"<span class=""tone5"">吗</span>"	"<span class=""tone5"">ma</span><!--ma-->"	yes/no question word	"<span class=""tone3"">好</span><span class=""tone5"">吗</span>{{c1:: － <span class=""tone3"">hǎo</span><span class=""tone5"">ma</span> － good?}}"	"<span class=""tone2"">忙</span><span class=""tone5"">吗</span>{{c1:: － <span class=""tone2"">máng</span><span class=""tone5"">ma</span> － busy?}}<br />"	"<span class=""tone4"">干</span><span class=""tone2"">吗</span>{{c1:: － <span class=""tone4"">gàn</span><span class=""tone2"">má</span> － what are you doing?}}"			"你找我<span class=""highlight"">吗</span>？"	Are you looking for me?	nǐ zhǎo wǒ ma ？<!--ni zhao wo ma ？-->	[sound:oddcast-b4b8ca1b-02785391-29d15c1e-33640bee-dae96f60.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21527.gif"" alt=""吗""style=""width:75px;height:75px;""/>"	4 CharSet
妈	"<span class=""tone1"">妈</span>"	"<span class=""tone1"">mā</span><!--ma-->"	mother	"<span class=""tone1"">妈</span><span class=""tone5"">妈</span>{{c1:: － <span class=""tone1"">mā</span><span class=""tone5"">ma</span> － mother}}"					"<span class=""highlight"">妈</span><span class=""highlight"">妈</span>最疼我。"	Mom loves me the most.	mā ma zuì téng wǒ 。<!--ma ma zui teng wo 。-->	[sound:oddcast-dea8ed62-40b14e1b-d00bb7c2-55c8cce9-a73e1ed2.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22920.gif"" alt=""妈""style=""width:75px;height:75px;""/>"	4 CharSet
月	"<span class=""tone4"">月</span>"	"<span class=""tone4"">yuè</span><!--yue-->"	month; moon	"<span class=""tone4"">这</span><span class=""tone5"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone5"">ge</span><span class=""tone4"">yuè</span> － this month}}"	"<span class=""tone4"">上</span><span class=""tone5"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone5"">ge</span><span class=""tone4"">yuè</span> － last month}}"	"<span class=""tone4"">下</span><span class=""tone4"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone4"">gè</span><span class=""tone4"">yuè</span> － next month}}"	"<span class=""tone4"">月</span><span class=""tone5"">亮</span>{{c1:: － <span class=""tone4"">yuè</span><span class=""tone5"">liang</span> － the moon}}"		"我的<span class=""highlight"">月</span>收入是五千元。"	My monthly income is 5000 yuan.	wǒ de yuè shōu rù shì wǔ qiān yuán 。<!--wo de yue shou ru shi wu qian yuan 。-->	[sound:oddcast-edf5ec62-1324e1d1-605ba38a-6cc6e932-522d6da5.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26376.gif"" alt=""月""style=""width:75px;height:75px;""/>"	6 CharSet
朋	"<span class=""tone2"">朋</span>"	"<span class=""tone2"">péng</span><!--peng-->"	friend; companion	"<span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone2"">péng</span><span class=""tone5"">you</span> － friend}}"	"<span class=""tone2"">男</span><span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone2"">nán</span><span class=""tone2"">péng</span><span class=""tone5"">you</span> － boy friend}}"	"<span class=""tone3"">女</span><span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone3"">nǚ</span><span class=""tone2"">péng</span><span class=""tone5"">you</span> － girl friend}}"	"<span class=""tone3"">老</span><span class=""tone2"">朋</span><span class=""tone5"">友</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone2"">péng</span><span class=""tone5"">you</span> － old friend}}"		"昨晚亲<span class=""highlight"">朋</span>好友聚在一起真高兴。"	It was very happy to have relative and friends gathered together last night.	zuó wǎn qīn péng hǎo yǒu jù zài yī qǐ zhēn gāo xìng 。<!--zuo wan qin peng hao you ju zai yi qi zhen gao xing 。-->	[sound:oddcast-d86b6615-6e8348a9-671d2e74-b03f782e-aa8d40f1.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26379.gif"" alt=""朋""style=""width:75px;height:75px;""/>"	6 CharSet
有	"<span class=""tone3"">有</span>"	"<span class=""tone3"">yǒu</span><!--you-->"	to have	"<span class=""tone3"">有</span><span class=""tone2"">名</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone2"">míng</span> － famous}}"	"<span class=""tone3"">有</span><span class=""tone2"">钱</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone2"">qián</span> － rich}}"	"<span class=""tone3"">有</span><span class=""tone4"">意</span><span class=""tone5"">思</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone4"">yì</span><span class=""tone5"">si</span> － interesting; meaningful}}"	"<span class=""tone3"">有</span><span class=""tone4"">害</span>{{c1:: － <span class=""tone3"">yǒu</span><span class=""tone4"">hài</span> － harmful}}"		"我<span class=""highlight"">有</span>一个哥哥。"	I have an older brother.	wǒ yǒu yī gè gē ge 。<!--wo you yi ge ge ge 。-->	[sound:oddcast-ea116131-3d1b290c-8326c5f3-973d808b-12b95f10.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26377.gif"" alt=""有""style=""width:75px;height:75px;""/>"	6 CharSet
妹	"<span class=""tone4"">妹</span>"	"<span class=""tone4"">mèi</span><!--mei-->"	younger sister	"<span class=""tone4"">妹</span><span class=""tone5"">妹</span>{{c1:: － <span class=""tone4"">mèi</span><span class=""tone5"">mei</span> － younger sister}}"	"<span class=""tone3"">姐</span><span class=""tone4"">妹</span>{{c1:: － <span class=""tone3"">jiě</span><span class=""tone4"">mèi</span> － sisters}}"				"我<span class=""highlight"">妹</span>还很小。"	My younger sister is still young.	wǒ mèi hái hěn xiǎo 。<!--wo mei hai hen xiao 。-->	[sound:oddcast-5f4d35cc-0f8ffc90-1a95b8df-e5d05b48-6a32c5d1.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22969.gif"" alt=""妹""style=""width:75px;height:75px;""/>"	6 CharSet
来	"<span class=""tone2"">来</span>"	"<span class=""tone2"">lái</span><!--lai-->"	come	"<span class=""tone4"">上</span><span class=""tone2"">来</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone2"">lái</span> － come up}}"	"<span class=""tone4"">下</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone5"">lai</span> － come down}}"	"<span class=""tone5"">起</span><span class=""tone5"">来</span>{{c1:: － <span class=""tone5"">qi</span><span class=""tone5"">lai</span> － stand up}}"	"<span class=""tone2"">来</span><span class=""tone4"">自</span>{{c1:: － <span class=""tone2"">lái</span><span class=""tone4"">zì</span> － come from}}"		"我<span class=""highlight"">来</span>自英国。"	I'm from the U.K.	Wǒ lái zì Yīngguó.	[sound:oddcast-32c818b8-266a4398-3933774a-2b8c26dc-c18216a8.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26469.gif"" alt=""来""style=""width:75px;height:75px;""/>"	6 CharSet
了	"<span class=""tone5"">了</span> / <span class=""tone3"">了</span>"	"<span class=""tone5"">le</span> / <span class=""tone3"">liǎo</span><!--le / liao-->"	transition word / to complete	"<span class=""tone4"">为</span><span class=""tone5"">了</span>{{c1:: － <span class=""tone4"">wèi</span><span class=""tone5"">le</span> － in order to}}"	"<span class=""tone4"">不</span><span class=""tone3"">了</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone3"">liǎo</span> － can not}}"				"她们迷路<span class=""highlight"">了</span>。"	They're lost.	Tāmen mílù le.	[sound:oddcast-8d72198f-55363d1d-1b9986c7-9ffe3126-8f211032.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20102.gif"" alt=""了"" style=""width:75px;height:75px;"">"	6 CharSet
说	"<span class=""tone1"">说</span>"	"<span class=""tone1"">shuō</span><!--shuo-->"	to say; to speak	"<span class=""tone1"">说</span><span class=""tone4"">话</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone4"">huà</span> － to speak}}"	"<span class=""tone1"">说</span><span class=""tone3"">谎</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone3"">huǎng</span> － tell a lie}}"	"<span class=""tone1"">说</span><span class=""tone5"">不</span><span class=""tone4"">定</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone5"">bu</span><span class=""tone4"">dìng</span> － maybe}}"	"<span class=""tone1"">说</span><span class=""tone2"">服</span>{{c1:: － <span class=""tone1"">shuō</span><span class=""tone2"">fú</span> － convince}}"		"请听我<span class=""highlight"">说</span>。"	Please listen to what I say.	qǐng tīng wǒ shuō 。<!--qing ting wo shuo 。-->	[sound:oddcast-0c6df2e7-4900a2bc-5fce427f-5a41a5cf-0ff66d14.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35828.gif"" alt=""说""style=""width:75px;height:75px;""/>"	6 CharSet
语	"<span class=""tone3"">语</span>"	"<span class=""tone3"">yǔ</span><!--yu-->"	language	"<span class=""tone3"">口</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone3"">kǒu</span><span class=""tone3"">yǔ</span> － spoken language}}"	"<span class=""tone4"">日</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone4"">rì</span><span class=""tone3"">yǔ</span> － japanese}}"	"<span class=""tone2"">成</span><span class=""tone3"">语</span>{{c1:: － <span class=""tone2"">chéng</span><span class=""tone3"">yǔ</span> － idiom}}"			"她是外<span class=""highlight"">语</span>系的学生。"	She is a student in the foreign languages department.	Tā shì wàiyǔxì de xuésheng.	[sound:oddcast-c24605b3-27dcac0b-c469c97a-a6d3f7e2-f64faca2.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35821.gif"" alt=""语""style=""width:75px;height:75px;""/>"	6 CharSet
多	"<span class=""tone1"">多</span>"	"<span class=""tone1"">duō</span><!--duo-->"	how many/much; to what extent; many	"<span class=""tone3"">许</span><span class=""tone1"">多</span>{{c1:: － <span class=""tone3"">xǔ</span><span class=""tone1"">duō</span> － a lot of}}"	"<span class=""tone1"">多</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">duō</span><span class=""tone4"">cì</span> － repeatedly}}"				"这个小镇的人口不<span class=""highlight"">多</span>。"	This town has a small population.	Zhège xiǎozhèn de rénkǒu bù duō.	[sound:oddcast-cc0b4511-b3933d28-1447e4ba-63c3d43a-691480c8.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22810.gif"" alt=""多""style=""width:75px;height:75px;""/>"	6 CharSet
名	"<span class=""tone2"">名</span>"	"<span class=""tone2"">míng</span><!--ming-->"	name	"<span class=""tone2"">名</span><span class=""tone5"">字</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone5"">zi</span> － name}}"	"<span class=""tone2"">名</span><span class=""tone2"">牌</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone2"">pái</span> － brand name}}"	"<span class=""tone2"">名</span><span class=""tone4"">片</span>{{c1:: － <span class=""tone2"">míng</span><span class=""tone4"">piàn</span> － buisiness card}}"			"他<span class=""highlight"">名</span>叫王刚。"	His name is Wang Gang.	tā míng jiào wáng gāng 。<!--ta ming jiao wang gang 。-->	[sound:oddcast-441f0a1c-d617dc5c-d2239dc0-d86739a6-9238741b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21517.gif"" alt=""名""style=""width:75px;height:75px;""/>"	6 CharSet
外	"<span class=""tone4"">外</span>"	"<span class=""tone4"">wài</span><!--wai-->"	outside; out; foreign	"<span class=""tone4"">外</span><span class=""tone5"">边</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone5"">bian</span> － outside}}"	"<span class=""tone4"">外</span><span class=""tone2"">国</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone2"">guó</span> － foreign country}}"	"<span class=""tone4"">外</span><span class=""tone1"">交</span><span class=""tone1"">官</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone1"">jiāo</span><span class=""tone1"">guān</span> － diplomat}}"	"<span class=""tone4"">在</span><span class=""tone4"">外</span>{{c1:: － <span class=""tone4"">zài</span><span class=""tone4"">wài</span> － excluded}}"	"<span class=""tone4"">外</span><span class=""tone2"">国</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone4"">wài</span><span class=""tone2"">guó</span><span class=""tone2"">rén</span> － foreigner}}"	"他们去野<span class=""highlight"">外</span>露营。"	They went camping in the open country.	Tāmen qù yěwài lùyíng.	[sound:oddcast-a6a0256a-387ed6fc-b94ddda6-9b9fbd7f-9e460c3b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22806.gif"" alt=""外""style=""width:75px;height:75px;""/>"	6 CharSet
刀	"<span class=""tone1"">刀</span>"	"<span class=""tone1"">dāo</span><!--dao-->"	knife	"<span class=""tone1"">刀</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone1"">dāo</span><span class=""tone5"">zi</span> － knife}}"	"<span class=""tone1"">刀</span><span class=""tone4"">片</span>{{c1:: － <span class=""tone1"">dāo</span><span class=""tone4"">piàn</span> － blade}}"				"这把菜<span class=""highlight"">刀</span>很锋利。"	The kitchen knife is very sharp.	Zhè bǎ càidāo hěn fēnglì.	[sound:oddcast-7aa6e74b-7799f9d2-e036505b-1367a591-8a083b25.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20992.gif"" alt=""刀""style=""width:75px;height:75px;""/>"	6 CharSet
分	"<span class=""tone1"">分</span>"	"<span class=""tone1"">fēn</span><!--fen-->"	to divide; division; minute; {MW} 1/100 of a 块 (cent)	"<span class=""tone1"">分</span><span class=""tone1"">钟</span>{{c1:: － <span class=""tone1"">fēn</span><span class=""tone1"">zhōng</span> － minute}}"	"<span class=""tone1"">分</span><span class=""tone2"">别</span>{{c1:: － <span class=""tone1"">fēn</span><span class=""tone2"">bié</span> － respectively}}"	"<span class=""tone1"">分</span><span class=""tone4"">辨</span>{{c1:: － <span class=""tone1"">fēn</span><span class=""tone4"">biàn</span> － distinguish}}"	"<span class=""tone3"">百</span><span class=""tone1"">分</span><span class=""tone1"">之</span><span class=""tone1"">三</span><span class=""tone2"">十</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone1"">fēn</span><span class=""tone1"">zhī</span><span class=""tone1"">sān</span><span class=""tone2"">shí</span> － 30%}}"		"这药<span class=""highlight"">分</span>三次是。"	This medicine is to be take in three separate doses.	zhè yào fēn sān cì shì 。<!--zhe yao fen san ci shi 。-->	[sound:oddcast-d153a01e-7063b72c-ef4f690f-97195bcb-1c7ed664.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20998.gif"" alt=""分""style=""width:75px;height:75px;""/>"	6 CharSet
到	"<span class=""tone4"">到</span>"	"<span class=""tone4"">dào</span><!--dao-->"	to arrive; to go to	"<span class=""tone2"">得</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone2"">dé</span><span class=""tone4"">dào</span> － get}}"	"<span class=""tone3"">找</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone3"">zhǎo</span><span class=""tone4"">dào</span> － turn up}}"	"<span class=""tone2"">达</span><span class=""tone4"">到</span>{{c1:: － <span class=""tone2"">dá</span><span class=""tone4"">dào</span> － achieve}}"			"她遭<span class=""highlight"">到</span>了殴打。"	She's been beaten up.	Tā zāodàole ōudǎ.	[sound:oddcast-54bcc2de-7f67e74a-310f787c-a8d167d3-58355166.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21040.gif"" alt=""到""style=""width:75px;height:75px;""/>"	6 CharSet
倒	"<span class=""tone3"">倒</span> / <span class=""tone4"">倒</span>"	"<span class=""tone3"">dǎo</span> / <span class=""tone4"">dào</span><!--dao / dao-->"	topple / invert	"<span class=""tone3"">打</span><span class=""tone3"">倒</span>{{c1:: － <span class=""tone3"">dǎ</span><span class=""tone3"">dǎo</span> － down with...}}"	"<span class=""tone3"">倒</span><span class=""tone4"">下</span>{{c1:: － <span class=""tone3"">dǎo</span><span class=""tone4"">xià</span> － to topple}}"	"<span class=""tone1"">摔</span><span class=""tone3"">倒</span>{{c1:: － <span class=""tone1"">shuāi</span><span class=""tone3"">dǎo</span> － to fall down}}"			"她正在<span class=""highlight"">倒</span>车。"	She's backing the car up.	Tā zhèng zài dǎochē.	[sound:oddcast-5177b91c-d6d518de-ae403e83-2fde7b2c-4f10db0b.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20498.gif"" alt=""倒""style=""width:75px;height:75px;""/>"	6 CharSet
天	"<span class=""tone1"">天</span>"	"<span class=""tone1"">tiān</span><!--tian-->"	day; sky; heaven	"<span class=""tone1"">天</span><span class=""tone2"">才</span>{{c1:: － <span class=""tone1"">tiān</span><span class=""tone2"">cái</span> － genius}}"	"<span class=""tone1"">天</span><span class=""tone4"">气</span>{{c1:: － <span class=""tone1"">tiān</span><span class=""tone4"">qì</span> － weather}}"	"<span class=""tone1"">天</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone1"">tiān</span><span class=""tone2"">rán</span> － of/by nature}}"	"<span class=""tone1"">天</span><span class=""tone1"">真</span>{{c1:: － <span class=""tone1"">tiān</span><span class=""tone1"">zhēn</span> － innocent; naive}}"		"<span class=""highlight"">天</span>不早了。"	It's getting late.	tiān bù zǎo le 。<!--tian bu zao le 。-->	[sound:oddcast-1c9918c1-74f4eb6f-9dcfb6ed-715d3087-a29340ef.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22825.gif"" alt=""天""style=""width:75px;height:75px;""/>"	7 CharSet
